# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.3968,1,0.25,2,3,0,42.8771,0.272452
-30.3968,0,14.3855,0,1,1,31.64,0.272452
-30.3968,0,2.43117,0,1,1,30.6784,0.272452
-29.2903,1,0.239791,1,3,0,30.1248,0.00381843
-29.2454,0.575768,0.324332,2,3,0,30.183,-0.0928094
-29.4536,0.967587,0.14318,1,3,0,29.6569,-0.214146
-29.4083,0.950436,0.213293,1,3,0,29.9271,0.0623256
-29.4083,0.775878,0.31961,1,1,0,29.7413,0.0623256
-29.2413,0.998087,0.28659,1,3,0,29.3484,-0.0825181
-29.2413,1.01196e-07,0.526584,1,1,0,31.2335,-0.0825181
-29.3299,0.998926,0.0417836,3,15,0,29.4815,-0.162995
-29.278,0.997888,0.078812,2,7,0,29.4782,-0.00534698
-29.5193,0.962618,0.149131,2,3,0,29.7325,0.0996327
-30.5832,0.855711,0.252969,2,3,0,30.7474,-0.434244
-34.9859,0.430794,0.307097,2,3,0,35.5416,-0.825608
-36.2823,0.945394,0.100002,2,3,0,37.1554,-0.906747
-33.0457,0.902193,0.161492,2,3,0,38.4116,-0.68454
-30.8791,1,0.227488,1,1,0,32.5963,-0.472587
-29.2451,1,0.429466,1,1,0,29.7364,-0.0923749
-29.2451,1.15732e-16,0.803544,1,1,0,29.9167,-0.0923749
-29.3373,0.997178,0.0755368,3,9,0,29.4161,0.0313866
-32.4098,0.786986,0.140952,2,5,0,33.0669,-0.630669
-32.0625,1,0.140653,1,1,0,32.536,-0.598948
-29.2504,0.776885,0.260835,2,3,0,33.8365,-0.0341192
-31.0397,0.629352,0.251742,1,3,0,31.1564,0.356512
-30.626,1,0.159538,1,1,0,31.0489,0.304601
-31.6625,0.856894,0.29123,2,3,0,32.2707,-0.559882
-29.2961,1,0.35211,1,1,0,30.2022,0.00780479
-29.2961,6.95569e-05,0.632207,1,1,0,30.3604,0.00780479
-29.8467,0.982563,0.0710432,2,5,0,30.2583,0.178731
