# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-32.5357,0.0224303,0.5,1,3,0,32.566,0.506298
-32.5357,0,2.43226,0,1,1,33.0313,0.506298
-29.563,1,0.242736,2,3,0,32.1662,-0.247664
-31.5995,0.50985,0.254561,2,3,0,33.4577,0.418
-31.4657,1,0.0852362,1,1,0,31.6259,0.404035
-31.8175,0.972548,0.125769,1,1,0,31.8799,0.439935
-30.7576,1,0.189559,2,3,0,31.6847,0.321873
-30.5433,1,0.33078,2,3,0,30.6995,-0.428767
-30.5433,0.0054261,0.600093,1,3,0,30.7045,-0.428767
-29.4266,0.995314,0.048149,3,15,0,31.733,0.069198
-29.3124,0.997477,0.0886354,1,3,0,29.5267,0.0178965
-29.465,0.937803,0.166278,2,3,0,29.9784,0.0825468
-29.4695,0.999489,0.259812,2,3,0,29.5451,0.08405
-29.4695,0.0509134,0.493511,1,1,0,29.653,0.08405
-29.4631,1,0.0485395,2,3,0,29.4699,0.08191
-29.3718,0.910443,0.0932842,2,5,0,33.1022,-0.182919
-29.3451,1,0.135349,1,1,0,29.3716,-0.170688
-29.8009,0.859824,0.257374,1,1,0,29.8049,-0.304691
-30.1582,0.835211,0.317417,1,1,0,30.4426,-0.370811
-29.6631,0.725699,0.362765,2,3,0,30.1784,-0.27358
-29.2831,1,0.298717,2,3,0,29.5045,-0.134069
-29.2831,8.50155e-08,0.555654,1,1,0,30.5657,-0.134069
-29.2458,0.999975,0.0545637,3,11,0,29.2932,-0.0418007
-29.2825,0.996419,0.101998,1,3,0,29.3352,-0.00181721
-29.2644,0.96287,0.186816,2,3,0,29.6156,-0.0173529
-29.3818,0.945913,0.307803,1,1,0,29.392,0.0517103
-29.3818,8.86639e-07,0.479369,1,1,0,32.8492,0.0517103
-29.3793,1,0.0520022,2,3,0,29.3826,0.0506592
-29.8174,0.965589,0.09489,1,3,0,30.3772,0.172719
-30.3225,0.907179,0.155884,2,5,0,31.0694,-0.396796
-29.6967,0.899642,0.216438,2,3,0,31.3817,-0.28159
-32.4842,0.302474,0.292833,1,1,0,32.5873,-0.637237
-30.1801,0.998525,0.0789103,4,15,0,32.896,-0.374411
-30.5747,0.962319,0.139494,1,1,0,30.5787,-0.433093
-30.5747,0.583326,0.221972,1,1,0,32.2648,-0.433093
-30.8043,0.993648,0.129424,2,3,0,30.8433,-0.463254
-30.8043,0.793524,0.221948,1,1,0,31.7158,-0.463254
-29.6798,1,0.224819,1,1,0,30.522,-0.277595
-30.3078,0.624819,0.386905,1,1,0,30.7714,-0.39455
-29.3823,1,0.253755,1,1,0,30.0098,-0.187363
-29.6508,0.777703,0.432657,1,1,0,29.6596,0.135136
-29.6508,0.405456,0.418755,1,1,0,30.4594,0.135136
-29.2393,1,0.160316,2,5,0,29.6001,-0.0624828
-29.6215,0.856644,0.270979,2,3,0,29.8649,-0.26324
-29.2513,1,0.319602,1,1,0,29.4399,-0.102717
-29.4566,0.74656,0.533443,1,1,0,29.5557,0.0797512
-29.4173,1,0.478395,1,1,0,29.6405,0.0657532
-29.4173,1.24645e-05,0.790431,1,3,1,29.4278,0.0657532
-30.2164,0.967225,0.118955,2,7,0,30.2189,0.244822
-29.9155,0.955481,0.182274,2,3,0,30.8959,0.192311
-29.355,1,0.270089,1,1,0,29.7206,0.0399373
-29.7076,0.708707,0.441818,1,1,0,29.7325,-0.284124
-29.7076,0.0715048,0.364638,1,1,0,31.0358,-0.284124
-29.7441,0.999128,0.0691739,1,1,0,29.7447,-0.29238
-29.8186,0.995264,0.112803,1,1,0,29.827,-0.308398
-29.3498,0.995432,0.181184,2,3,0,29.8817,-0.172939
-29.3836,0.985977,0.289372,1,1,0,29.4274,-0.187889
-29.3836,0.00100488,0.449753,1,1,0,30.6345,-0.187889
-29.351,1,0.0765485,4,15,0,29.3866,-0.1735
-29.2398,0.989722,0.123052,1,3,0,29.5613,-0.0760871
-29.2398,0.899374,0.192237,1,3,0,29.8873,-0.0760871
-29.2398,0.152217,0.244859,1,3,0,35.3819,-0.0760871
-29.2447,0.999623,0.0606729,2,7,0,29.2749,-0.0439337
