# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.5566,0.81016,0.431244,1,1,0,29.723,0.110429
-29.2595,1,0.445837,1,1,0,29.3043,-0.112895
-29.2595,0.0231088,0.659502,1,1,0,29.6328,-0.112895
-29.2421,0.998711,0.154822,2,3,0,29.2779,-0.0851974
-29.7341,0.88768,0.228713,1,3,0,29.8091,-0.290163
-29.2461,0.943573,0.273748,2,3,0,29.9344,-0.0942901
-29.2461,0.573239,0.362897,1,1,0,29.5509,-0.0942901
-29.4861,0.747923,0.242004,2,3,0,30.8154,0.0894227
-29.3469,1,0.223344,1,1,0,29.4577,0.0361144
-30.0913,0.670884,0.327404,1,1,0,30.1642,0.224141
-30.856,0.768541,0.262329,1,1,0,31.0578,0.334297
-30.2912,1,1.00588,1,1,0,30.8359,0.256575
-30.2912,0,14.4701,0,1,1,31.9066,0.256575
-30.2912,0.00277238,2.44547,1,1,0,30.4537,0.256575
-29.2472,0.998265,0.24299,3,9,0,30.7916,-0.0391531
-29.697,0.97753,0.327209,3,11,0,31.0008,-0.281657
-30.6453,0.933392,0.478608,1,3,0,31.4752,-0.442623
-29.2896,0.999531,0.663247,2,5,0,30.5537,-0.138769
-29.6686,0.919552,1.17982,1,3,0,29.671,-0.274915
-29.6686,0.402525,1.68268,1,3,0,31.325,-0.274915
-29.3701,0.991741,0.475474,1,3,0,29.9424,-0.182155
-29.7041,0.855609,0.868196,1,3,0,30.8111,0.147867
-29.2791,0.997098,1.03779,1,3,0,29.6448,-0.00444422
-29.2791,0.200306,1.94377,1,1,0,29.8489,-0.00444422
-29.7708,0.99188,0.298703,2,5,0,29.935,0.162817
-29.5097,0.9695,0.553936,2,7,0,30.8061,-0.232193
-29.3467,0.946488,0.953851,1,3,0,30.044,0.0359855
-29.6335,0.902552,1.52166,2,3,0,29.7208,0.130839
-29.6335,0.0981491,2.11064,1,1,0,30.9899,0.130839
-29.6809,0.999571,0.25466,2,3,0,29.6865,0.142431
-29.6154,0.999114,0.477885,2,3,0,29.735,0.126236
-29.8037,0.956529,0.887191,2,3,0,30.196,0.169838
-30.1509,0.953965,1.43818,2,3,0,30.3405,-0.369601
-29.7185,1,2.29601,1,1,0,30.4392,-0.286631
-29.7185,3.67903e-16,4.15809,1,3,1,29.8007,-0.286631
-29.7513,0.994859,0.417777,2,3,0,29.9353,-0.293979
-29.9369,0.995824,0.749088,3,7,0,29.9682,0.196377
-29.3115,1,1.33372,1,1,0,29.7083,0.0173922
-29.3115,0.001017,2.37946,1,1,0,30.9861,0.0173922
-29.2412,0.997801,0.260249,3,9,0,29.6968,-0.0824637
-29.3144,0.997507,0.46339,2,5,0,29.3312,0.0190404
-29.2639,0.980641,0.816567,1,3,0,29.5374,-0.117555
-29.4859,0.886413,1.36168,2,3,0,29.7315,0.089361
-29.4859,0.892922,1.74695,1,3,0,29.6089,0.089361
-29.4859,0.088212,2.2713,1,1,0,29.7313,0.089361
-30.0031,0.98162,0.348455,3,7,0,30.684,0.208634
